/Vcmp X,/Vcmp Y,/CLK X,/CLK Y
6.401457799312822e-08,1.199742687164319,6.401457799312822e-08,1.2
6.501457799312821e-08,1.199742687164319,6.501457799312821e-08,1.2
6.601457799312821e-08,1.199742687164319,6.601457799312821e-08,1.2
6.701457799312821e-08,1.199742687164319,6.701457799312821e-08,1.2
6.80145779931282e-08,1.199742687164319,6.80145779931282e-08,1.2
6.90145779931282e-08,1.199742687164319,6.90145779931282e-08,1.2
6.999999999999999e-08,1.199742687164319,6.999999999999999e-08,1.2
7.012784119161795e-08,1.19974268675367,7.012784119161795e-08,1.19951615724526
7.021050530544977e-08,1.199742685035055,7.021050530544977e-08,1.198688438060447
7.026243817122638e-08,1.199742685469529,7.026243817122638e-08,1.197961883619808
7.036630390277962e-08,1.199742688301171,7.036630390277962e-08,1.196031514820884
7.051096099686156e-08,1.199742695090588,7.051096099686156e-08,1.192286282362369
7.080027518502544e-08,1.199742716289982,7.080027518502544e-08,1.181136994673707
7.13789035613532e-08,1.199742770387858,7.13789035613532e-08,1.144577443141479
7.169540309473301e-08,1.199742792072747,7.169540309473301e-08,1.116885759967404
7.197028823356955e-08,1.199742782124677,7.197028823356955e-08,1.088680915099966
7.221234690180638e-08,1.199742707478635,7.221234690180638e-08,1.060820971588907
7.241366298175051e-08,1.199742537577701,7.241366298175051e-08,1.035614162243614
7.259167663652585e-08,1.19974221480337,7.259167663652585e-08,1.011870549387401
7.273033357053448e-08,1.199741763536022,7.273033357053448e-08,0.9924802250079076
7.283611022386463e-08,1.199741228242762,7.283611022386463e-08,0.9771853082944559
7.29244063374601e-08,1.199740585456436,7.29244063374601e-08,0.9640983607310221
7.302112848835886e-08,1.199739564566482,7.302112848835886e-08,0.949441393558434
7.311270362085131e-08,1.199738161969386,7.311270362085131e-08,0.935266838763533
7.321015815743111e-08,1.199736004243411,7.321015815743111e-08,0.9198777509060915
7.331195088893751e-08,1.199732724081568,7.331195088893751e-08,0.903483716831826
7.33979392879196e-08,1.199728868246453,7.33979392879196e-08,0.8893925321158738
7.356991608588377e-08,1.199716574816972,7.356991608588377e-08,0.8605870774212701
7.370882561750645e-08,1.199700435809184,7.370882561750645e-08,0.8367610532560429
7.383155694838036e-08,1.199679681807145,7.383155694838036e-08,0.8153333369282174
7.393934023938803e-08,1.199654671927549,7.393934023938803e-08,0.796250343461761
7.402346231305559e-08,1.199629522833711,7.402346231305559e-08,0.781199110829931
7.413457901058457e-08,1.199586262221089,7.413457901058457e-08,0.7611257249893882
7.423112406288555e-08,1.199536937693181,7.423112406288555e-08,0.7435244569378912
7.435905535766489e-08,1.199448773466411,7.435905535766489e-08,0.7200004568874752
7.446929778226453e-08,1.199345453086047,7.446929778226453e-08,0.6995722056118602
7.457058954667565e-08,1.199221005064376,7.457058954667565e-08,0.680696677813625
7.468489911098478e-08,1.199034863935041,7.468489911098478e-08,0.6592981598239487
7.48121605948092e-08,1.198750218098954,7.48121605948092e-08,0.6353863474010671
7.493759092648105e-08,1.198361593568337,7.493759092648105e-08,0.6117630795374294
7.505499263214322e-08,1.197867974738947,7.505499263214322e-08,0.5896346487033783
7.51657907608691e-08,1.197251665424776,7.51657907608691e-08,0.5687633055243813
7.527069485838731e-08,1.196497279651617,7.527069485838731e-08,0.5490367011127516
7.53690133888408e-08,1.195604507568579,7.53690133888408e-08,0.5305983133123898
7.547967158528322e-08,1.194336573215401,7.547967158528322e-08,0.5099258492123588
