out X,out Y
5.31560914126146e-06,0.1091078182242609
5.321465147648647e-06,0.1268404803535056
5.327010720463727e-06,0.1429632756963517
5.33348029109772e-06,0.1607250282526791
5.340435955709894e-06,0.1783839328547105
5.34915208695108e-06,0.1982119594134241
5.354576105109501e-06,0.2092137710705265
5.365088558720451e-06,0.2275728319724957
5.373590237006122e-06,0.2396409798551404
5.380092686832439e-06,0.2472761584976308
5.385423734144927e-06,0.2525663937800861
5.390321656457779e-06,0.2567079822689786
5.400117501083481e-06,0.263165198685897
5.404329934714928e-06,0.2652457411366615
5.412754801977823e-06,0.268357602399741
5.416820653079162e-06,0.2694055136137553
5.424952355281839e-06,0.2707980721302289
5.429018032077656e-06,0.271187201112297
5.437149385669291e-06,0.2715252278811374
5.441463642130184e-06,0.2715106018754889
5.450092155051972e-06,0.2712358423962924
5.459697686394449e-06,0.2706805456797394
5.469178483558158e-06,0.2699360167172376
5.479638759272983e-06,0.2688825560730914
5.487923173509965e-06,0.267859995497922
5.496750661757348e-06,0.2665978771163898
5.508932170181287e-06,0.2646352139824211
5.520704844280402e-06,0.2625806725365666
5.531578037183623e-06,0.2606033270014207
5.543397562118381e-06,0.2584079712417491
5.556955286662125e-06,0.2558604579426371
5.572957384044663e-06,0.2528356386574493
5.592981535252615e-06,0.2490408505155703
5.619450756016959e-06,0.2440213883514281
5.65736494900442e-06,0.2368347623632328
5.718409982253393e-06,0.2252764625727817
5.818409982253393e-06,0.206371380282414
5.918409982253393e-06,0.1874632230680319
5.979495227109241e-06,0.1758557284591327
6.041597101464433e-06,0.1639772524349735
6.091103936218253e-06,0.1546711319007609
6.134550416373225e-06,0.1473952192429815
6.154507160362964e-06,0.1446621228222736
6.17297439805574e-06,0.1427798989461627
6.189448231141893e-06,0.1418294874898536
6.203663705301982e-06,0.1416731660340406
6.21824195926528e-06,0.1422206596544908
6.235391865076474e-06,0.143805571209334
6.256547066559887e-06,0.1470535142164615
6.276651552202894e-06,0.1512181304494404
6.292069660668685e-06,0.1549270611146549
6.305272680648023e-06,0.1583123102770983
6.317536173363841e-06,0.1615162564185225
6.3291767706865e-06,0.1645219221891968
6.340646748846712e-06,0.1673762419047532
6.352364740043995e-06,0.1701182173879327
6.364668960107578e-06,0.1727506306663665
6.377987564217748e-06,0.1752636127213638
6.393007165519828e-06,0.1776337104272833
6.411132592332427e-06,0.1798108030860016
6.436385707791999e-06,0.1816350642607843
6.464872820011983e-06,0.1821865778751192
6.489874859690278e-06,0.1815607727985063
6.51245631411138e-06,0.1802769395691442
6.5347095277399e-06,0.1784939452439925
