/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
1.093930220068942e-09,0.9898491223188549,1.093930220068942e-09,0,1.093930220068942e-09,3.241916454644225e-06,1.093930220068942e-09,0.5853747429049861
1.127348513304793e-09,0.9901390527510113,1.127348513304793e-09,0,1.127348513304793e-09,2.837406760315613e-06,1.127348513304793e-09,0.5952452631527519
1.168294152104116e-09,0.9904443806711895,1.168294152104116e-09,0,1.168294152104116e-09,2.429338962292099e-06,1.168294152104116e-09,0.6061118692984072
1.216554811255237e-09,0.9907496385045415,1.216554811255237e-09,0,1.216554811255237e-09,2.041039100110917e-06,1.216554811255237e-09,0.6174417045619813
1.271472508525028e-09,0.9910416561061274,1.271472508525028e-09,0,1.271472508525028e-09,1.689640882460957e-06,1.271472508525028e-09,0.6287165529603598
1.333143161078991e-09,0.991315815212308,1.333143161078991e-09,0,1.333143161078991e-09,1.379612165177181e-06,1.333143161078991e-09,0.6397004040324792
1.402600284900181e-09,0.9915725558733393,1.402600284900181e-09,0,1.402600284900181e-09,1.108579192922043e-06,1.402600284900181e-09,0.6503633603269019
1.481611738302502e-09,0.991814144278763,1.481611738302502e-09,0,1.481611738302502e-09,8.725953861455143e-07,1.481611738302502e-09,0.6607539455085664
1.571992541471722e-09,0.9920410289381161,1.571992541471722e-09,0,1.571992541471722e-09,6.691674157824665e-07,1.571992541471722e-09,0.6708723784547266
1.678002019584385e-09,0.992257306139806,1.678002019584385e-09,0,1.678002019584385e-09,4.9262825029711e-07,1.678002019584385e-09,0.6809037477796548
1.798313588928162e-09,0.9924551684067542,1.798313588928162e-09,0,1.798313588928162e-09,3.467948674375762e-07,1.798313588928162e-09,0.6904720511149982
1.934639125745493e-09,0.9926353589239381,1.934639125745493e-09,0,1.934639125745493e-09,2.275266921661351e-07,1.934639125745493e-09,0.6995703021453697
