/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
2.650189543144745e-09,0.8454986524720967,2.650189543144745e-09,-5.718764865093977e-06
2.651535388343014e-09,0.8453738143259635,2.651535388343014e-09,-5.733607875951843e-06
2.652955946107308e-09,0.845257057391282,2.652955946107308e-09,-5.755025459606518e-06
2.654268140212498e-09,0.8451669202928037,2.654268140212498e-09,-5.782532244922408e-06
2.655360665440023e-09,0.8451123268332947,2.655360665440023e-09,-5.815757611741278e-06
2.656229210722143e-09,0.8450885520964319,2.656229210722143e-09,-5.850640084847106e-06
2.656990047884075e-09,0.8450821836967162,2.656990047884075e-09,-5.88276933479925e-06
2.657843195218802e-09,0.8450848779415456,2.657843195218802e-09,-5.913382970004057e-06
2.659032836017327e-09,0.8450919393385418,2.659032836017327e-09,-5.945938194027421e-06
2.660110106828562e-09,0.8450927034903322,2.660110106828562e-09,-5.966381542681417e-06
2.661156352214166e-09,0.8450842476056137,2.661156352214166e-09,-5.980309113162483e-06
2.662335517292003e-09,0.8450624134158286,2.662335517292003e-09,-5.990311083523112e-06
2.663637425064172e-09,0.8450234397389511,2.663637425064172e-09,-5.995344187444232e-06
2.665028704210486e-09,0.8449661602907722,2.665028704210486e-09,-5.995234044933084e-06
2.666522106511171e-09,0.8448894448538035,2.666522106511171e-09,-5.990521225687222e-06
2.668145876477457e-09,0.8447918879742043,2.668145876477457e-09,-5.981866099865346e-06
2.66994545327306e-09,0.8446712804652248,2.66994545327306e-09,-5.969941460828254e-06
2.671989234996796e-09,0.844524042639898,2.671989234996796e-09,-5.955392184745093e-06
2.674374074653021e-09,0.8443448623397343,2.674374074653021e-09,-5.93889679733213e-06
2.677240881338948e-09,0.8441257633031817,2.677240881338948e-09,-5.92125594034739e-06
2.680573679203322e-09,0.8438716194522792,2.680573679203322e-09,-5.90451935847467e-06
2.684136433767237e-09,0.8436037115031007,2.684136433767237e-09,-5.891030307922097e-06
2.688030022128062e-09,0.8433163718707882,2.688030022128062e-09,-5.88078764531768e-06
2.692399734319245e-09,0.8430001192483122,2.692399734319245e-09,-5.873751701527341e-06
2.697437497881359e-09,0.8426421056448562,2.697437497881359e-09,-5.870015165029686e-06
2.703423990894991e-09,0.8422235305321394,2.703423990894991e-09,-5.869847327467409e-06
2.710750092697516e-09,0.8417184917989848,2.710750092697516e-09,-5.873745713271296e-06
2.720022488437078e-09,0.8410870242365579,2.720022488437078e-09,-5.882468024347157e-06
2.73034356689948e-09,0.8403911250958783,2.73034356689948e-09,-5.894827519258947e-06
2.740398792387672e-09,0.8397182684738217,2.740398792387672e-09,-5.90815180109668e-06
2.750806184843574e-09,0.8390259646816842,2.750806184843574e-09,-5.922441611050984e-06
2.762083542826489e-09,0.8382798148714183,2.762083542826489e-09,-5.938033940884342e-06
2.774841354716917e-09,0.8374403548170657,2.774841354716917e-09,-5.955564712367486e-06
2.789990908554775e-09,0.8364496896458766,2.789990908554775e-09,-5.97611969187661e-06
2.808837207189862e-09,0.8352265053903306,2.808837207189862e-09,-6.001261143286615e-06
2.833558931710346e-09,0.8336373927722689,2.833558931710346e-09,-6.033537719504927e-06
2.868062599752461e-09,0.8314485998280857,2.868062599752461e-09,-6.077307027071385e-06
2.917742621951707e-09,0.8283563724394151,2.917742621951707e-09,-6.137814148679184e-06
2.976740737269415e-09,0.824774680652169,2.976740737269415e-09,-6.2059827622888e-06
3.025777190161017e-09,0.8218722532558222,3.025777190161017e-09,-6.25974109312181e-06
3.033656006796657e-09,0.8214130287602052,3.033656006796657e-09,-6.268206730774441e-06
3.042236408236617e-09,0.8209142856122379,3.042236408236617e-09,-6.277219930437253e-06
3.053272687465301e-09,0.8202755727569669,3.053272687465301e-09,-6.288771398713776e-06
3.075345245922669e-09,0.8190081703906309,3.075345245922669e-09,-6.311501966373585e-06
3.107573861968587e-09,0.8171818223057407,3.107573861968587e-09,-6.343815116123298e-06
3.153431900763192e-09,0.8146325566752548,3.153431900763192e-09,-6.388049505013361e-06
3.231106731921094e-09,0.8104459399544667,3.231106731921094e-09,-6.458507535600925e-06
3.3864563942369e-09,0.802558183760533,3.3864563942369e-09,-6.583977432045495e-06
3.697155718868511e-09,0.7886261993999325,3.697155718868511e-09,-6.78317975370583e-06
4.066553240602286e-09,0.7749735494118756,4.066553240602286e-09,-6.952459404122791e-06
4.425573104708081e-09,0.764350137067663,4.425573104708081e-09,-7.067809486205982e-06
4.791023683954317e-09,0.7557974572345385,4.791023683954317e-09,-7.150946240859836e-06
5.187141963474491e-09,0.7486459719039288,5.187141963474491e-09,-7.214268788225082e-06
5.650164589815238e-09,0.7425096973400399,5.650164589815238e-09,-7.264409816615172e-06
6.197241055580289e-09,0.737618766235356,6.197241055580289e-09,-7.301743618909505e-06
6.742674035705867e-09,0.7346443812357183,6.742674035705867e-09,-7.323303010559975e-06
7.28850525948909e-09,0.7330511688405956,7.28850525948909e-09,-7.334393731632732e-06
7.847570459700051e-09,0.7324478660882775,7.847570459700051e-09,-7.338324076727685e-06
8.401799584644301e-09,0.7325853005374773,8.401799584644301e-09,-7.337014719656965e-06
8.962773488119132e-09,0.7332545658975604,8.962773488119132e-09,-7.331920724948224e-06
9.549379354246457e-09,0.7343566409811136,9.549379354246457e-09,-7.323655046012302e-06
1.017674230772511e-08,0.7358515718996795,1.017674230772511e-08,-7.312379834247601e-06
1.086171680976849e-08,0.7377385529300156,1.086171680976849e-08,-7.297933666705674e-06
1.161891195646777e-08,0.7400274229995335,1.161891195646777e-08,-7.280029979263981e-06
1.212102811242142e-08,0.7416283276178474,1.212102811242142e-08,-7.267239601604187e-06
1.262314426837507e-08,0.7432726739574219,1.262314426837507e-08,-7.253860751556083e-06
1.362737658028236e-08,0.7466636596379735,1.362737658028236e-08,-7.22547572657142e-06
1.478115460138061e-08,0.7505904148159506,1.478115460138061e-08,-7.191163968723425e-06
1.582122651162283e-08,0.7541510574768627,1.582122651162283e-08,-7.158673837524986e-06
1.790137033210727e-08,0.7612770583346596,1.790137033210727e-08,-7.089480926435326e-06
2.058878023182734e-08,0.7704176806731076,2.058878023182734e-08,-6.992028988985132e-06
2.371333341029769e-08,0.7808871585224662,2.371333341029769e-08,-6.867443799611248e-06
2.79039731297778e-08,0.7945976879091402,2.79039731297778e-08,-6.681640165157788e-06
3.427576226735255e-08,0.8146122233976174,3.427576226735255e-08,-6.360413138770449e-06
3.901820210811334e-08,0.8288022969057767,3.901820210811334e-08,-6.094277758750095e-06
4.850308178963493e-08,0.8551666109561765,4.850308178963493e-08,-5.510132825019106e-06
5.639756870834172e-08,0.874956587904462,5.639756870834172e-08,-4.99171040863765e-06
7.218654254575528e-08,0.9085440168519758,7.218654254575528e-08,-3.948163332105584e-06
7.972944396594948e-08,0.9218552716734095,7.972944396594948e-08,-3.47599678474015e-06
8.692794696719914e-08,0.9330139482145873,8.692794696719914e-08,-3.05392051936424e-06
9.293164641629543e-08,0.9412434561131972,9.293164641629543e-08,-2.727109880420805e-06
9.886274866645218e-08,0.9484859821474633,9.886274866645218e-08,-2.428483722712985e-06
1.046174584814603e-07,0.9547380665828091,1.046174584814603e-07,-2.162342722629601e-06
1.104145806532184e-07,0.9603315974868825,1.104145806532184e-07,-1.917631231231663e-06
1.162801956446552e-07,0.9653380404532244,1.162801956446552e-07,-1.693283840667296e-06
1.222924525380534e-07,0.9698553911839887,1.222924525380534e-07,-1.48651760555834e-06
1.285001736609971e-07,0.9739363351499645,1.285001736609971e-07,-1.29617337448664e-06
1.349640434119832e-07,0.9776275576735473,1.349640434119832e-07,-1.121089381413664e-06
1.417460784795765e-07,0.9809631955781647,1.417460784795765e-07,-9.604791708284279e-07
1.489192048698377e-07,0.9839713781971144,1.489192048698377e-07,-8.136812756526021e-07
1.565695215311168e-07,0.9866746627065671,1.565695215311168e-07,-6.801759938639812e-07
1.648032216287997e-07,0.9890916960658467,1.648032216287997e-07,-5.595325803106058e-07
